Pattern,Repository Name,Description,Stars,Forks,created_year,updated_year,Contributors,URL
Abstract Factory,Pizza-Delivery-System,"A pizza delivery system that showcases the usage of Observer, Abstract Factory, Singleton, Command, and Iterator design patterns. ",4,2,2017,2021,1,https://github.com/DuyguKeskek/Pizza-Delivery-System
Abstract Factory,Design-Patterns---PMS---Patient-Information-System-Simple,"Simple Project For Singleton, Abstract Factory, Command, Iterator, Decarator Observer and Adapter Design Patterns, All in One",4,0,2020,2021,0,https://github.com/muammersahin/Design-Patterns---PMS---Patient-Information-System-Simple
Abstract Factory,Builder-Pattern,Builder pattern was introduced to solve some of the problems with Factory and Abstract Factory design patterns when the Object contains a lot of attributes.  There are three major issues with Factory and Abstract Factory design patterns when the Object contains a lot of attributes.,4,0,2018,2023,1,https://github.com/Design-pattrns/Builder-Pattern
Abstract Factory,SoftwareEngineeringDesignPatterns,"Here, I have implemented various Software Engineering design patterns separately using Java, including Abstract Factory, Adapter, Bridge, Builder, Chain of Responsibility, Command, Decorator, Facade, Factory, Iterator, Observer, Prototype, Proxy, Singleton, and Strategy.",4,1,2020,2024,1,https://github.com/Rofiquldk1/SoftwareEngineeringDesignPatterns
Abstract Factory,Software-Design-Principles-And-Patterns-in-Golang,"SOLID Design Principles: Single Responsibility Principle, Open-Closed Principle, Liskov Substitution Principle, Interface Segregation Principle and Dependency Inversion Principle  Creational Design Patterns: Builder, Factories (Factory Method and Abstract Factory), Prototype and Singleton  Structrural Design Patterns: Adapter, Bridge, Composite, Decorator, Façade, Flyweight and Proxy  Behavioral Design Patterns: Chain of Responsibility, Command, Interpreter, Iterator, Mediator, Memento, Observer, State, Strategy, Template Method and Visitor",4,0,2021,2025,1,https://github.com/piyushkumar96/Software-Design-Principles-And-Patterns-in-Golang
Abstract Factory,AbstractFactory,In this Example I explained the Abstract Factory Design Pattern,3,0,2024,2024,1,https://github.com/Omar-Driouch/AbstractFactory
Abstract Factory,AbstractFactoryPattern,Abstract factory pattern can use as a super factory when it has a subtype of common factories. This type of design pattern come under creational design pattern and one of the best way to produce an object,3,0,2021,2022,1,https://github.com/iresh-rajitha/AbstractFactoryPattern
Abstract Factory,DesignPatterns,"Design patterns learning course for C#. Creational Patterns. Singleton, Prototype, Builder, Factory Method, Abstract Factory.",3,0,2019,2024,1,https://github.com/arsentd/DesignPatterns
Abstract Factory,design-patterns,"Creational design patterns in C#: Abstract Factory, Builder, Factory, Factory Method, Object-Pool, Prototype, Singleton.",3,1,2023,2024,1,https://github.com/cenkerkumlucali/design-patterns
Abstract Factory,design-pattern,"This repository talks about some design patterns in OOP (using Java language). It contains the examples about SINGLETON, FACTORY METHOD, ABSTRACT FACTORY, BUILDER, FACADE, BRIDGE, PROTOTYPE, OBSERVER.",3,0,2016,2020,1,https://github.com/phuongsala/design-pattern
Abstract Factory,dp-creational-abstractfactory,Abstract Factory is a creational design pattern that lets you produce families of related objects without specifying their concrete classes.,2,3,2022,2024,1,https://github.com/una-eif204-progra2-master/dp-creational-abstractfactory
Abstract Factory,design-pattern-abstract-factory,"In the continuation of my previous article (Strategy vs. Factory Design Patterns in Java), I am here with an article on Abstract Factory Pattern. In this article, I will try to highlight the usage of the pattern along with the difference with the Factory Pattern.",2,4,2020,2021,1,https://github.com/BrijeshSaxena/design-pattern-abstract-factory
Abstract Factory,AbstractFactoryDesignPatternWithKotlin,Abstract Factory Design Pattern With Kotlin,2,0,2022,2022,1,https://github.com/harunkor/AbstractFactoryDesignPatternWithKotlin
Abstract Factory,DesignPatterns.AbstractFactory,,2,0,2022,2022,1,https://github.com/dFarkhod/DesignPatterns.AbstractFactory
Abstract Factory,SE-311-Design-Pattern-Project-Patient-Management-System,"This project was for our Design Patterns course. We used 5 different design patterns which are Observer, Abstract Factory, Template Method, Singleton, Command, in one project.",2,2,2018,2025,1,https://github.com/efeuruk/SE-311-Design-Pattern-Project-Patient-Management-System
Abstract Factory,PatternAbstractFactory,Projet en cours de Design pattern,2,0,2017,2017,1,https://github.com/NathanGrimaud/PatternAbstractFactory
Abstract Factory,abstract-factory-pattern,Abstract Factory and Factory Method Design Patterns in C#,2,0,2022,2024,1,https://github.com/jebarcha/abstract-factory-pattern
Abstract Factory,Abstract-Factory-Design-Pattern,In this repository you will find complete implementation of abstract factory design pattern ,2,1,2023,2023,1,https://github.com/akshatsh0610/Abstract-Factory-Design-Pattern
Abstract Factory,design-patterns-creational-abstract-factory,A source code of a demo that shows how the Abstract factory can be used in Java.,2,0,2022,2024,1,https://github.com/Amer-Jabar/design-patterns-creational-abstract-factory
Abstract Factory,DesignPatterns,"Some design patterns (Singleton, Simple and Abstract Factory, Builder, Facade, Adapter, Chain of Responsibility, Mediator) examples written in C#",2,0,2018,2024,1,https://github.com/alexandra-valkova/DesignPatterns
Abstract Factory,Cleaning-Management,"Robot vacuum simulator, usage of Abstract Factory, Builder, Singleton and Observer design patterns.",2,0,2017,2017,1,https://github.com/irenexychen/Cleaning-Management
Abstract Factory,Abstract_Factory-Design_Pattern,"This module gives a demo on Abstract Factory Design Pattern in JAVA with its implementation code, why to use it, where to use it, advantages & disadvantages, how to implement, etc...",2,0,2021,2021,1,https://github.com/gowthamrajk/Abstract_Factory-Design_Pattern
Abstract Factory,Advanced-Design-Patterns-Swift,"""Design Patterns in Swift: Abstract Factory"", the second topic of the Advanced iOS series, where I cover advanced iOS Development topics.",2,0,2022,2023,1,https://github.com/Bugrayenidunya/Advanced-Design-Patterns-Swift
Abstract Factory,Advanced_OOP_Cinema_ConsoleApp_FallProject,"The Cinema Management System is a Java-based application that demonstrates the use of key design patterns such as Abstract Factory, Builder, Chain of Responsibility, and Singleton. It simulates interactions between customers, employees, and a cinema database system to manage movie screenings, customer reservations, and employee tasks.",2,0,2024,2024,1,https://github.com/tuanh00/Advanced_OOP_Cinema_ConsoleApp_FallProject
Abstract Factory,AbstractFactory,Design Pattern class,1,0,2017,2017,0,https://github.com/clusson/AbstractFactory
Abstract Factory,AbstractFactory,design pattern factory - abstract,1,0,2021,2021,1,https://github.com/KKMalysa/AbstractFactory
Abstract Factory,AbstractFactory,Project apply AbstractFactory Design Pattern,1,0,2018,2022,1,https://github.com/minhthong8197/AbstractFactory
Abstract Factory,AbstractFactory,Design Pattern implemented in C#,1,0,2020,2024,1,https://github.com/wojciechligeza/AbstractFactory
Abstract Factory,BuildACarUsingDesignPatterns,"Code to build a car, drive it and rent it via Some design patterns - Abstract Factory, Decorator, Template Method, Strategy",1,2,2015,2024,1,https://github.com/pserra77/BuildACarUsingDesignPatterns
Abstract Factory,Abstract-Factory-Design-Pattern,Creational Design Patterns Abstract Factory Design Pattern ,1,0,2021,2021,1,https://github.com/iremsevim/Abstract-Factory-Design-Pattern
Abstract Factory,AbstractFactoryDesignPattern,Abstract Factory Design Pattern Demo,1,0,2012,2014,1,https://github.com/NileshGule/AbstractFactoryDesignPattern
Abstract Factory,Abstract-Factory,Cours design pattern,1,0,2017,2017,1,https://github.com/Krycthus/Abstract-Factory
Abstract Factory,Design-Patterns-Abstract-Factory,Design Patterns-Abstract Factory,1,0,2022,2022,1,https://github.com/Jacky0624/Design-Patterns-Abstract-Factory
Abstract Factory,abstract-factory-design-pattern,Abstract Factory Design Pattern,1,0,2022,2022,1,https://github.com/eMahtab/abstract-factory-design-pattern
Abstract Factory,PizzaFactory,Abstract Factory Design Pattern,1,0,2020,2020,1,https://github.com/Arrayly/PizzaFactory
Abstract Factory,AbstractFactoryDesignPattern,"Main reason behind this code is Learning and applying Factory Design Pattern which Comply with SOLID, so the Factory Design Pattern becomes Abstract Factory Design Pattern ",1,0,2024,2024,1,https://github.com/khashayarRohani/AbstractFactoryDesignPattern
Abstract Factory,design_patterns-abstract_factory,Creational Design Patterns,1,0,2020,2020,1,https://github.com/malbohy/design_patterns-abstract_factory
Abstract Factory,AbstractFactory-Design-Pattern,Object creation using Abstract Factory Design Pattern,1,0,2022,2024,1,https://github.com/OthDr/AbstractFactory-Design-Pattern
Abstract Factory,abstract-factory,Learning design patterns - Abstract Factory,1,0,2024,2024,2,https://github.com/isaquecsilva/abstract-factory
Abstract Factory,AbstractFactoryGoLang,This is abstract factory design pattern in go,1,0,2022,2022,0,https://github.com/codernirmalnp/AbstractFactoryGoLang
Abstract Factory,TVFactory-AbstractFactory,"Implementation of the design pattern, abstract factory on Java.",1,1,2015,2016,1,https://github.com/andalm/TVFactory-AbstractFactory
Abstract Factory,ts_abstract-factory,Abstract Factory | Design Pattern | TypeScript,1,0,2018,2020,1,https://github.com/jalbertocoder/ts_abstract-factory
Abstract Factory,Abstract-Factory-Desig-Pattern,Abstract factory design pattern example.,1,0,2021,2021,1,https://github.com/ArmanZiaei83/Abstract-Factory-Desig-Pattern
Abstract Factory,typescript-abstract-factory-pattern,Implement Abstract Factory Design Pattern,1,0,2021,2022,1,https://github.com/wahyufeb/typescript-abstract-factory-pattern
Abstract Factory,TEST,Design Pattern: Implément abstract factory,1,0,2017,2017,1,https://github.com/JacquesLesur/TEST
Abstract Factory,DesignPatterns,Abstract Factory Sample,1,1,2017,2022,1,https://github.com/Backhage/DesignPatterns
Abstract Factory,C-Sharp-DesignPatterns-AbstractFactory,"Voici un exemple avec des ordinateurs du Design Pattern ""Abstract Factory"".",1,0,2018,2019,1,https://github.com/Andree-AnneRoy/C-Sharp-DesignPatterns-AbstractFactory
Abstract Factory,expert-guide,Design Pattern - Strategy and Abstract Factory,1,0,2018,2022,0,https://github.com/cvmartins1996/expert-guide
Abstract Factory,DesignPattern.AbstractFactory,"Study of the AbstractFactory design pattern, using corporate tax calculation (Brazilian taxes)",1,0,2022,2022,1,https://github.com/francoeder/DesignPattern.AbstractFactory
Abstract Factory,CSharp12-DesignPatterns-Factory-AbstractFactory,Shows how Factory and Abstract Factory design patterns can be used in C# 12 to improve object creation and code maintainability by Ziggy Rafiq,1,0,2024,2024,1,https://github.com/ziggyrafiq/CSharp12-DesignPatterns-Factory-AbstractFactory
Abstract Factory,DesignPattern-AbstractFactoryMethod,Adult and kid menu with the design pattern of abstract factory method,1,0,2020,2020,0,https://github.com/ThanosChristidis/DesignPattern-AbstractFactoryMethod
Abstract Factory,DesignPattern-Abstract-Factory,Example implementation of Abstract Factory design pattern,1,0,2023,2023,1,https://github.com/tomaszchanek/DesignPattern-Abstract-Factory
Abstract Factory,csharp_abstract_factory_pattern,The abstract factory design pattern implemented in C#,1,0,2025,2025,2,https://github.com/JesseVanEvert/csharp_abstract_factory_pattern
Abstract Factory,Paint,Application Paint uses Abstract Factory Design Patterns,1,0,2021,2024,1,https://github.com/trantien1997/Paint
Abstract Factory,Car-Production,Simple labwork with abstract factory design pattern,1,0,2023,2023,1,https://github.com/progneo/Car-Production
Abstract Factory,Ex4-Factory-and-Abstract-Factory,05506230-Design Patterns In Object-Oriented Programming,1,0,2023,2023,1,https://github.com/NovaSuisui/Ex4-Factory-and-Abstract-Factory
Abstract Factory,PhpDesignPatterns-AbstractFactory,AbstractFactory,1,0,2018,2022,1,https://github.com/Jagepard/PhpDesignPatterns-AbstractFactory
Abstract Factory,input-abstract-factory,A front-end usage for the abstract factory design pattern,1,0,2019,2023,1,https://github.com/octaviocarpes/input-abstract-factory
Abstract Factory,Smash-Bros-Abstract-Factory,Simple program for showing the abstract factory design pattern ⚙️,1,0,2020,2020,1,https://github.com/Pablito2020/Smash-Bros-Abstract-Factory
Abstract Factory,AbstractFactory_Observer_JAVA_Design_Patterns,A simple project for Software Engineering Exam,1,0,2018,2020,1,https://github.com/StivenMetaj/AbstractFactory_Observer_JAVA_Design_Patterns
Abstract Factory,abstract_kingdom_ufu,Exemplo de explicação do design pattern abstract factory,1,0,2021,2023,1,https://github.com/samuel-cavalcanti/abstract_kingdom_ufu
Abstract Factory,abstract-factory-java,A simple example of how to implement the Abstract Factory design pattern,1,0,2023,2024,1,https://github.com/sean-campbelltech/abstract-factory-java
Abstract Factory,DesignPatterns,"Singleton, Factory Method and Abstract Factory Design Patterns in C#",1,0,2022,2022,1,https://github.com/bilgeyillmaz/DesignPatterns
Abstract Factory,abstract-factory-python,A simple example of how to implement the Abstract Factory design pattern in Python,1,0,2023,2024,1,https://github.com/sean-campbelltech/abstract-factory-python
Abstract Factory,AbstractFact,Simple Java Implementation of the Abstract Factory Design Pattern,1,0,2013,2023,1,https://github.com/pmsorhaindo/AbstractFact
Abstract Factory,MusicAlbums,"use design patterns ,Abstract Factory , MVC ,Decorator,Adapter,Facade",1,0,2016,2016,1,https://github.com/jobsyu/MusicAlbums
Abstract Factory,HalloweenVirtualHouse,Halloween Virtual Room program implementing abstract factory design pattern,1,0,2020,2021,1,https://github.com/veeyuan/HalloweenVirtualHouse
Abstract Factory,AbstractFactoryPatternInDotNetCore,his repository demonstrates the implementation of the Abstract Factory Design Pattern using .NET Core and C# 12 by Ziggy Rafiq,1,0,2024,2024,1,https://github.com/ziggyrafiq/AbstractFactoryPatternInDotNetCore
Abstract Factory,abstract-factory-design-pattern-in-python,Accompanying code for https://stackabuse.com/abstract-factory-design-pattern-in-python/,1,1,2021,2024,1,https://github.com/StackAbuse/abstract-factory-design-pattern-in-python
Abstract Factory,SDP_Assignment_1_10_30,"Design pattern demonstration for patterns like abstract factory, factory etc.",1,0,2023,2023,2,https://github.com/ShamikShafkat/SDP_Assignment_1_10_30
Abstract Factory,Abstract-factory-pattern,implementation of simple website that provides E-shopping service using both Factory and abstract Factory method design pattern.,1,0,2023,2025,1,https://github.com/samanody2001/Abstract-factory-pattern
Abstract Factory,Abstract-Factory-Design-Pattern,This is complete Tutorial of Abstract Factory Design Pattern . Feel Free to add something useful to it .,1,0,2023,2023,1,https://github.com/Neha611/Abstract-Factory-Design-Pattern
Abstract Factory,design_patterns,"Abstract Factory, Factory Method, Decorator and Strategy patterns Ruby implementation.",1,0,2018,2019,1,https://github.com/OscarMichelH/design_patterns
Abstract Factory,AbstractFactoryDesginPattern,This repository contains a simple implementation of the Abstract Factory Design Pattern in C#. The code demonstrates how to use abstract factories to create families of related objects without specifying their concrete classes.,1,0,2024,2024,2,https://github.com/Omar1Ach/AbstractFactoryDesginPattern
Abstract Factory,designpattern,Reservation system and reporting using abstract factory and builder design pattern,1,0,2023,2023,1,https://github.com/erayselvi/designpattern
Abstract Factory,designpattern4devs-abstract-factory-patterns-2022-09-05,Exemplos do live coding da aula DesignPatterns4Devs sobre o design pattern Criacional Abstract Factory,1,1,2022,2024,2,https://github.com/rocketseat-creators-program/designpattern4devs-abstract-factory-patterns-2022-09-05
Abstract Factory,patterns2,"Abstract Factory, Adapter, Builder, Façade, and Factory Method Design Patterns sample code",1,0,2020,2021,1,https://github.com/lshorser/patterns2
Abstract Factory,project_subscription_service,Python project for processing data from files using the Abstract Factory design pattern,1,0,2024,2025,1,https://github.com/paulinap92/project_subscription_service
Abstract Factory,design-patterns-java,"Simple Java exercises to familiarize with design patterns such as abstract factory, singleton and repository.",1,0,2022,2022,1,https://github.com/vittorioexp/design-patterns-java
Abstract Factory,python_lyft,"Assignment  based on Design patterns, unit Test in python solves Abstract factory , strategy patterns ",1,0,2022,2023,1,https://github.com/paerarason/python_lyft
Abstract Factory,design-patterns,"Disponíveis exemplos de padrões de projetos em Java, como SOLID, Factory Method, Abstract Factory, Builder, Bridge, entre outros.",1,0,2023,2024,1,https://github.com/ThaliaLevy/design-patterns
Abstract Factory,ConsoleAbstractFactory,O Design Pattern Abstract Factory é uma técnica de criação de objetos que pertence à categoria de padrões com propósito específico. Seu objetivo é agrupar múltiplas fábricas que compartilham características similares sob uma única interface.,1,0,2023,2023,1,https://github.com/jramaral/ConsoleAbstractFactory
Abstract Factory,Abstract-Furniture-Factory,Abstract-Factory is an Factory Method in Design-Pattern using Concepts of OOP in Java.,1,0,2023,2023,1,https://github.com/karan030204/Abstract-Furniture-Factory
Abstract Factory,AircraftManagement_DesignPatterns,"This repository contains a Java application that implements three design patterns: Builder, Abstract Factory, and State patterns. The project also includes comprehensive JUnit tests to verify functionality and ensure smooth operation.",1,0,2024,2024,1,https://github.com/tuanh00/AircraftManagement_DesignPatterns
Abstract Factory,Abstract-Factory-Design-Pattern,Abstract Factory patterns work around a super-factory which creates other factories. This factory is also called as factory of factories. This type of design pattern comes under creational pattern as this pattern provides one of the best ways to create an object.,1,0,2019,2023,1,https://github.com/therezacuet/Abstract-Factory-Design-Pattern
Abstract Factory,Design-Patterns-C-Sharp,"here are a few design patterns  implemented in C#. Bridge , Composite , Factory Method , Observer , Singleton , Strategie , Abstract Factory,adapter,Builder ",1,0,2023,2024,1,https://github.com/Jocelynpyw/Design-Patterns-C-Sharp
Abstract Factory,Design-Pattern-Abstract-Factory,"It is an implementation of Abstract Factory and Factory Method design patterns. It fetches data through JSON and XML file and provides output in HTML ,TXT and XML file format based on user request. The data generates restaurant menu based on country and timing.  ",1,0,2015,2021,1,https://github.com/keyuls/Design-Pattern-Abstract-Factory
Abstract Factory,pizzaria-with-pattern,"It is an example of a senary where it encompasses design patterns (Abstract Factory, State and Builder)",1,0,2019,2021,0,https://github.com/kevempedro/pizzaria-with-pattern
Abstract Factory,FeatureToggleDesignPatterns,Find out how Ziggy Rafiq simplifies A/B testing with feature toggles in C# 12 by using Factory and Abstract Factory design patterns.,1,0,2024,2024,1,https://github.com/ziggyrafiq/FeatureToggleDesignPatterns
Abstract Factory,EvspoID,"Platform E-commerce perlengkapan olahraga dibangun dengan Java menggunakan design pattern factory, abstract factory, strategy, singleton, facade pattern",1,0,2023,2023,1,https://github.com/malikfajarh/EvspoID
Abstract Factory,DesignPatternsExamples,"Singleton DP , Factory Method DP, Abstract Factory DP, Prototype DP, Builder DP, Facade DP, Adapter DP, Composite DP, Proxy DP, Decorator DP, Bridge DP, Strategy DP, Observer DP, Chain of Responsibilty DP, Memento DP, Template DP, State DP, Mediator DP, Command DP, Visitor DP, Dependency Injection DP, Null Object DP, Multiton DP Examples",1,0,2020,2025,1,https://github.com/mstfyrdmc/DesignPatternsExamples
Abstract Factory,GasPump-Driver,"Implemented a driver for gas-pump using various OOPS design pattern such as abstract factory, state pattern and startegy  pattern",1,0,2017,2018,1,https://github.com/vbimaliit/GasPump-Driver
Abstract Factory,Design-Patterns,"Explore a collection of commonly used design patterns implemented in Java. This repository showcases examples of Singleton, Factory, Abstract Factory, Adapter, Strategy, and Builder patterns. Each pattern is implemented in its own package, providing clear demonstrations and usage guidelines.",1,0,2023,2023,1,https://github.com/Meriyemelhajoui/Design-Patterns
Abstract Factory,Creational-Design-Patterns-in-Java,"This repository showcases implementations of five key creational design patterns in Java: Singleton, Factory, Abstract Factory, Builder, and Prototype. Each pattern is implemented with real-world scenarios, demonstrating how to create objects in a flexible, reusable, and efficient manner.",1,0,2024,2024,1,https://github.com/KUMARAN1601/Creational-Design-Patterns-in-Java
Abstract Factory,Institute,"This project has been developed to monitor graduates of an institute...Tools: PHP, MySQL, NETBEANS, Javascript, CSS, HTML... Design Patterns: MVC, Abstract Factory, Singleton.",1,0,2020,2021,1,https://github.com/JuniorAguilera/Institute
Abstract Factory,VehicleAgency,"This project is a vehicle agency graphical user interface (GUI) implemented in Java. It incorporates various design patterns to enhance code organization and functionality. The design patterns utilized include the thread pool, memento, observer, singleton, abstract factory method, and decorator patterns.",1,0,2023,2025,1,https://github.com/RonyBubnovsky/VehicleAgency
Abstract Factory,Design-Patterns-Java,"This course covers all the GoF design patterns. In fact, here's the full list of what is covered:  SOLID Design Principles: Single Responsibility Principle, Open-Closed Principle, Liskov Substitution Principle, Interface Segregation Principle and Dependency Inversion Principle  Creational Design Patterns: Builder, Factories (Factory Method and Abstract Factory), Prototype and Singleton  Structrural Design Patterns: Adapter, Bridge, Composite, Decorator, Façade, Flyweight and Proxy  Behavioral Design Patterns: Chain of Responsibility, Command, Interpreter, Iterator, Mediator, Memento, Null Object, Observer, State, Strategy, Template Method and Visitor",1,0,2021,2021,1,https://github.com/pedro687/Design-Patterns-Java
Abstract Factory,Model-Driven-Architecture,"This is the design and implementation of Model Driven Architecture for a GasPump Component using MDA-EFSM and various software design patterns like Observer, Abstract Factory and State Pattern",1,0,2017,2023,1,https://github.com/mohammedshethwala/Model-Driven-Architecture
